SpT,B_V,M_V
O5V,-0.323,-5.35
O6V,-0.321,-5.10
O7V,-0.318,-4.80
O8V,-0.315,-4.50
O9V,-0.312,-4.20
B0V,-0.301,-3.90
B0.5V,-0.289,-3.50
B1V,-0.278,-3.00
B1.5V,-0.252,-2.60
B2V,-0.215,-1.80
B2.5V,-0.198,-1.50
B3V,-0.178,-1.20
B4V,-0.165,-1.00
B5V,-0.156,-0.85
B6V,-0.140,-0.55
B7V,-0.128,-0.40
B8V,-0.109,0.00
B9V,-0.070,0.50
A0V,0.000,0.99
A1V,0.035,1.16
A2V,0.070,1.35
A3V,0.100,1.70
A4V,0.140,1.94
A5V,0.160,2.01
A6V,0.185,2.12
A7V,0.210,2.23
A8V,0.250,2.32
A9V,0.270,2.43
F0V,0.295,2.57
F1V,0.330,2.76
F2V,0.370,2.97
F3V,0.390,3.08
F4V,0.410,3.20
F5V,0.440,3.37
F6V,0.486,3.69
F7V,0.500,3.80
F8V,0.530,4.05
F9V,0.560,4.25
G0V,0.595,4.48
G1V,0.622,4.62
G2V,0.650,4.80
G3V,0.660,4.87
G4V,0.670,4.93
G5V,0.680,4.98
G6V,0.700,5.10
G7V,0.710,5.20
G8V,0.730,5.30
G9V,0.775,5.55
K0V,0.816,5.78
K1V,0.857,5.95
K2V,0.884,6.07
K3V,0.990,6.50
K4V,1.090,6.98
K5V,1.150,7.28
K6V,1.240,7.64
K7V,1.340,8.16
K8V,1.363,8.43
K9V,1.400,8.56
M0V,1.420,8.80
M0.5V,1.445,9.20
M1V,1.485,9.64
M1.5V,1.495,9.85
M2V,1.505,10.21
M2.5V,1.522,10.61
M3V,1.530,11.15
M3.5V,1.600,12.10
M4V,1.650,12.61
M4.5V,1.690,13.58
M5V,1.830,14.15
M5.5V,1.940,15.30
M6V,2.010,16.32
M6.5V,2.070,17.10
M7V,2.120,17.70
M7.5V,2.140,18.16
M8V,2.150,18.60
M8.5V,2.160,19.20
M9V,2.170,19.40
